id,title
715769,Broccolini Quinoa Pilaf
715495,Turkey Tomato Cheese Pizza
715573,Simple Skillet Lasagna
659109,Salmon Quinoa Risotto
648279,Italian Tuna Pasta
648257,Italian Steamed Artichokes
660266,Slow Cooked Corned Beef and Cabbage
648247,Italian Seafood Stew
640819,Crispy Italian Cauliflower Poppers Appetizer
1095806,Spanish style salmon fillets
633754,Baked Ratatouille
1095745,Mushroom Hummus Crostini
658753,Roma Tomato Bruschetta
664737,Veggie Lasagna Rolls with Peppery Pecorino Marinara
716300,Plantain Pizza
664565,Vegetable Minestrone Soup
658515,Roasted Brussels Sprouts With Garlic
639606,Classic Greek Moussaka
715563,Pierogi Casserole
1095742,Winter Vegetable Minestrone Soup
715538,What to make for dinner tonight?? Bruschetta Style Pork & Pasta
642095,Easy Skillet Garden Lasagna
664678,Vegetarian Moussaka With Portabella
640134,Corned Beef and Cabbage
648275,Italian Tomato and Mozzarella Caprese
640136,Corned Beef And Cabbage With Irish Mustard Sauce
646034,Guinness Braised Corned Beef and Cabbage
640693,Creamy Ratatouille Over Penne
632935,Asparagus Lemon Risotto
648176,Italian Meatloaf with Hard Boiled Eggs
643471,"fresh corn, roasted tomato & pickled garlic pizza with cornmeal crust"
647974,Irish Colcannon
638088,Chicken Farfalle with Low-Fat Alfredo Sauce
648259,Italian String Beans With Anchovies and Breadcrumbs
646549,Heart Shaped Spinach Ravioli
1095740,Golden Beet Panzanella
645646,Grilled Chicken Gyros With Tzatziki
657933,Ratatouille Pasta
1095751,Fresh Tomato Risotto with Grilled Green Vegetables
647124,Homemade Thin Crust Pizza + Pesto + Potato
644476,German Goulash
648190,Italian Pasta Salad with organic Arugula
662294,Sun-Dried Tomato Romesco
656972,Potato Gnocchi With Kale and Mushrooms In A Goat Cheese Sauce
658743,Roll Up Eggplant Lasagna
644885,Gluten Free Vegan Gnocchi
657312,Pumpkin gnocchi with basil and Parmesan
1095836,Romanian Pea and Chicken Stew
647563,How Sweet It Is Sweet Potato Lasagne
1096088,Baked Chicken Caprese
658615,"Roasted Peppers, Spinach & Feta Pizza"
664680,Vegetarian Mushroom Shepherd's Pie
641893,Easy Cheesy Pizza Casserole
664419,Vegan Colcannon Soup
656571,Polla alla Parmigiana: Chicken Parmesan
663136,Thai Pizza
633063,Austrian Goulash
1697699,Sheet Pan Butternut Squash with Spicy Italian Sausage
655400,Pear and Pesto Crostini
648155,Italian Kale and Potato Soup
654125,Osso Buco
1046983,Excellent No Fail and Easy Keto Zucchini Lasagna
652134,Mixed Paella
640314,Crab Ravioli With Scallops and Gremolata
649270,Lasagna - Spinach Rolls
656049,"Pierogies with Caramelized Onion, Cabbage, and Potato"
651922,Minestrone
649225,Lamb Moussaka
649354,Layered Greek Salad
157991,Best Minestrone Soup Recipe
658632,Roasted Pumpkin and Barley Risotto
631747,Dutch Oven Paella
638236,Chicken Pasta Primavera - Flower Patch Farmgirl Style
642297,Eggplant Parmesan Roll-Ups
663366,Thin Crust Genoa Salami Pizza
662291,Sun-Dried Tomato and Leek Quiche
649195,Lamb Burgers With Tzatziki Sauce
658641,Roasted Ratatouille Gratin
649395,Lean Shepherd's Pie
1095993,Slow Cooker Shanghai-Style Beef Borscht
634891,Best Chicken Parmesan
660843,Spanakopita (Greek Spinach Pie)
660292,Slow Cooker Minestrone Soup
640869,Crock Pot Shredded French Dip
655847,Pesto Veggie Pizza
656544,Polenta gnocchi with savoy cabbage and cheese
633661,Baked Lasagne
652856,My Favorite Minestrone
1095810,Buffalo Mozzarella & Pepperoni Pizza with a Cauliflower Crust
648718,Kale Colcannon
648048,Italian Beef Braciole
647645,Hungarian Beef Goulash
660215,Skillet Lasagna Topped with Ricotta
1095841,Spanish Gazpacho Soup
636610,"Butternut, Chicken and Feta Risotto"
644830,Gluten free focaccia
650397,Low Fat Fettuccine Alfredo With Fiddleheads
633884,Baked Ziti Or Rigatoni
634660,Beef Pot Pies with Irish Cheddar Crust
647656,Hungarian Goulash Soup
656817,Pork Schnitzel And Apple Salad
649850,Lemon-Pepper Fettucine Alfredo
638235,Chicken Parmesan With Pasta
647687,Ratatouille
649292,Lasagne Roll Ups
637811,Chestnut Risotto
657249,Pumpkin Banana Protein Oat Bars
656820,Pork Shoulder Tacos with Chipotle Greek Yogurt and Coleslaw
1096161,Greek Chicken Sheet Pan Dinner with Green Beans and Feta
642325,Eggplant Parmesan
645348,Greek Side Salad
663792,Transylvanian Goulash
662346,Super Kale and Sausage Lasagna
663227,The Best Quinoa Minestrone
654928,Pasta With Italian Sausage
645384,Greek Yogurt Chicken Salad
657939,Ratatouille With Brie
631824,(Lighter) Classic Eggplant Parmigiana
654327,Paella for Four; A Wonderful Spanish Mixed Seafood Stew
639599,Classic French Mussels
643175,"Focaccia with Tomato, Green Onion and Garlic"
157375,Steamy Creamy Mushroom Risotto
648238,Italian Sausage and Vegetable Soup
715560,World’s Greatest Lasagna Roll Ups
650119,Linguine Alla Carbonara
635686,Borscht Soup
75081,Beef Wellington
642091,Easy Shepherd's Pie (Beef And/or Lamb Combo)
654935,Pasta with Peas and Italian Sausage
651646,Mexican Lasagna with Chicken & Black Bean
645354,Greek Shrimp Orzo
658024,Minestrone Soup
641911,"Easy Chicken, Kielbasa and Shrimp Paella"
662264,summer vegetable pizza
1098350,Light Greek Lemon Chicken Orzo Soup
1096168,Sweet Potato Gnocchi tossed in Garlic Sage Olive Oil
648641,Julia Child's Ratatouille
657250,Pumpkin and Sausage Lasagna
640064,Coriander Ravioli With Pumpkin & Cottage Cheese Filling
715569,Strawberry Cheesecake Chocolate Crepes
648097,Italian Chicken With Pepper
650651,Make It Quick Italian Shrimp Rolls
636360,Brussels Sprout Carbonara with Fettuccini
638002,Chicken Cacciatore
656329,Pizza bites with pumpkin
650045,Lightened Ricotta Stuffed Shells With Italian Sausage Ragu
649340,Layered Baked Eggplant Parmesan
642287,Eggplant Fries with Tzatziki Sauce
652651,Mushroom Crepes with Vegetarian Sauce
642638,Fava Crostini
644205,Garden Vegetable Ravioli With Tomato Brodo
645265,Great Greek Salad
716414,"Red, White & Blue Crepes: Happy July 4th! @driscollsberry"
649280,Lasagna Silvia
1096012,Skinny Chicken Parmesan with Spaghetti Squash
664689,Vegetarian Ratatouille
1095746,Lemon and Edamame Risotto with Pecans
643450,Fresh Cherry Scones
1096208,Spinach Goats Cheese Roulade Main Dish
636096,Bridget Jones's Shepherd's Pie
642293,Eggplant Parmesan
654939,Pasta With Roasted Vegetables & Greek Olives
659037,Salmon and Broccoli Crepes
651381,Meaty One Dish Risotto
649183,Lamb and Fresh Goat Cheese Roulade
1182871,Shrimp Scampi Zoodles
657159,Prosciutto and Mushroom Ravioli With Basil Browned Butter Sauce
622598,Pittata - Pizza Frittata
653238,Noodle Free Eggplant and Spinach Lasagna
642371,"Elk Italian Sausage Pizza With Ricotta Cheese, Sautéd Mushrooms and Onion"
648638,Julia Child's Coq au Vin
648118,Sauteed Italian Eggplant Side Dish
641962,Easy Eggplant Parmesan
649718,Lemon Pasta Alfredo (Vegan)
660366,Smoked Salmon and Mascarpone Calzone
653368,Nutmeg and Rosemary Butternut Squash Risotto
656548,Polenta Pie With Italian Toppings
664233,Unctuous Mushroom Risotto
640696,Creamy Risotto With Smoked Turkey Sausage
650654,Make Olive Garden’s Delicious Pasta Fagioli At Home
645315,Greek Inspired Spring Omelet
646071,Gyros
663771,Traditional Panzanella
645833,Grilled Ratatouille
1095731,Peach and Pistachio Greek Yogurt Bowl
644482,German Meatloaf Falscher Hase
801377,Chicken Parmesan Patty- Eat As A Burger OR On Pasta
642595,Farmer's Market Wild Mushroom Risotto
652652,Mushroom Crepes
636593,Butternut Squash Pizza
636599,Butternut Squash Gnocchi With Whiskey Cream Sauce
644917,Gnocchi and Wilted Spinach Salad
1095888,Irish Brown Soda Bread
664396,Vegan Beet Borscht
636355,BRUSCHETTA STUFFED PORTOBELLOS
634404,Basic Risotto
633830,Baked Swedish Pancake
649768,Lemon Rosemary Risotto
652722,Mushroom-Pea Risotto
660883,Spanish “Ketchup” – Romesco Sauce
646729,Herbed Vegetables In A Feta Quiche With A Wild Rice Crust
715448,Creamy Alfredo and Shrimp Pasta
632781,Arugula & Feta Pasta
654005,Orecchiette Carbonara
637434,Chanterelle and Mangalitsa Speck Pizza
657377,Pumpkin Ravioli With Browned Butter Sage Sauce
639900,Colcannon
643372,French Onion Salisbury Steak
656506,Poached Prawns with Fettuccine and French String Beans
716272,Nutella Crepes and Ice Cream
1426885,Quick and Easy No-Boil Lasagna
664481,Vegan Risotto Cakes
663745,Totally Fresh Tomato Lasagna
651965,Mini Meatball & Ravioli Soup With Garlic Croutons
665285,Whole Wheat Focaccia Bread with Caramelized Onion
649496,Lemon and Arënkha Msc Risotto With Anchovy-Fried Crumbs
638493,Chicken/sweet Potato Roulade With Goat Cheese Sauce
665446,X-Country Double Lobster Risotto
642230,Egg Souffle With Bacon and Asparagus
645020,Golden Potato and Caramelized Onion Flat Bread Pizza
1095834,German Braised Red Cabbage
1095851,Simple Broccoli Cheddar Quiche
654573,Panzanella Toscana
643330,French Dips With Au Jus
665769,Zucchini Pizza Boats
658803,Rosemary Rum Raisin Soda Bread with Pecans
640864,Crock Pot Lasagna
656819,Pork schnitzel with tarragon cream sauce
664031,Turkey Goulash By Mommie Cooks
639794,Coconut milk risotto (Arborio rice pudding)
654331,"Paella Catalane With Mussels, Squid & Crevettes"
632046,Alaskan Smoked Salmon Nicoise Salad With Alouette Crumbled Feta
657956,"Ravioli With Arugula, Pine Nuts, Raisins & Cream"
716403,Easy Lemon Feta Greek Yogurt Dip
633876,Baked Ziti
634481,Bbq Chicken and Goat Cheese Ravioli
663553,Tomato and Bacon Pizza With Rice Crust
631756,Savory Radicchio and Prosciutto Crostini Topped with Sweet Syrupy Sapa
654835,Pasta e Fagioli (Pasta and Beans)
644889,Gluten-Free Lamb Moussaka
660861,"Spanish Gazpacho Soup In The Raw With Broiled ""Cheese"" Toast"
653098,Niçoise Salad
643781,Fried Ravioli & Mint Parsley Pesto
651076,Marinated Souvlaki
649147,La Panzanella
640085,Corn Flan Side Dish
1697697,One-Pan Butternut Squash Risotto with Mushrooms
649431,Leek and Mushroom Quiche
642147,Easy Weeknight Beef Stroganoff
658920,Rustic Grilled Peaches Pizza
658782,Rosemary and Red Onion Focaccia
652624,Mushroom and Parmesan Brown Rice Risotto
1096205,Zucchini Feta Roulade
1095794,Spanish Tortilla
652760,Mussels in Irish Ale
648565,Jen's Swedish Meatballs
647661,Hungarian Potato Soup
634779,Beet Gnocchi With Steak and Brown Butter Sauce
631863,3 Cheese Ravioli
659358,Sausage Calzone
1095817,Super Food Trail Mix
632094,Almond Biscotti
637478,Chavrie Spinach Quiche
715454,Italian Style Meatballs
1054737,How to make the World’s Greatest Lasagna Roll Ups
640590,Creamy Asparagus Risotto Side Dish
653777,Open Ravioli With Butternut Squash and Amaretti
640767,Crepes Suzette
650700,Mama Mia's Minestrone
1095945,Tuna Sandwich Savory Cake (Swedish Smörgåstårta)
652687,Mushroom Risotto over Broccoli Rabe
633133,Avocado Chicken Parmigiana
157093,Puff Paste quiche
658384,Risotto With Fresh Peas
1096086,Chorizo Lasagna Rolls
1096190,Leek and goat’s cheese quiche
642096,Easy Shrimp Scampi
647266,Honey Panna Cotta With Blueberries and Graham Crackers
648923,King Crab Risotto
636392,Buckwheat Crepes
641974,Easy Gift Lasagna
649293,"Lasagne, Marietta-Style"
637054,Caramelized Onion and Bacon Pizza
652686,Mushroom Risotto
643362,French Onion Marsala Soup
649977,Lick-Your-Plate Amazing Tiramisu
633752,Baked Ravioli & Meat Sauce
1005368,Panzanella Salad
663595,Tomato Free Mexican Lasagna
67308,Chocolate Souffle
645365,Greek Style Honey and Pistachio Cake
633883,Baked Ziti Casserole
661249,Spinach & Ham Quiche
633267,Bacon and Arugula Quiche
639597,Classic French Onion Soup
647659,Hungarian Plum Dumplings
657511,Quiche with Swiss Chard and Mushroom
662605,"Sweet Potato, Sausage and Caramelized Onion Pizza"
639637,Classic scones
661427,"Spring Risotto with Shrimp, Asparagus and Artichoke Hearts"
157964,Mashed Potato and Pea Perogies
648006,Irish Soda Bread By Mommie Cooks
659459,Savory Carrot Souffle
634699,Beef Stroganoff w Bella Mushrooms
646660,Goat Cheese and Fig Crostini
658300,Rich Jelly Scones
653500,"Oatmeal, Apricot, Walnut Soda Bread"
637348,Celery Apple Risotto With Crispy Pancetta
639825,Coconut Thai Risotto With Seared Scallops
636598,Butternut Squash Souffle Side Dish
649988,Light and Easy Alfredo
637042,Caramelised Onion and Mushroom Quiche
635207,Blackberry Creme Brulee
680975,BLT Pizza
639557,Clams With Spanish Sausage
644504,German White Chocolate Cake
645187,Grape and Rosemary Focaccia
664585,"Vegetable Quiche Made With Fresh Tomatoes, Spinach, Basil and Goat Cheese"
658682,Roasted Tomato Crostini with Olive Tapenade
665776,Zucchini Quiche & Almond Flax Crust
652672,Mushroom Gnocchi
644488,German Rhubarb Cake with Meringue
660842,Spanakopita Cups
637675,Cheesy Potato Corn Scones
648010,Irish Whiskey Pie
636286,Brown Butter and Sage Ravioli
655525,Pecan Pumpkin Pie Dessert Pizza with Maple Whipped Cream
658585,Roasted Fish Bruschetta
644965,"Goat Cheese, Fig And Proscuitto Crostini"
654571,Panna Cotta with Raspberry and Orange Sauce
652605,Mushroom & Gruyere Quiche
1096246,Apple Cinnamon Quiche
636970,Caramel Almond Berry Trifle
661725,Strawberries and Cream Scones
654887,Pasta Shells With Ricotta Cheese Stuffing
654567,Panna Cotta with Apricot Sauce
644477,German Lemon Cake With Cranberry Aka Cranberry Zitronenkuchen
647895,Individual Tiramisu Parfaits
649419,Leche Flan (Caramel Flan)
716407,Simple Whole Wheat Crepes
664284,Vanilla and Lime Flan By Esperanza Platas Alvarez (Planet Food Mexico)
634847,Berry and White Chocolate Trifle
663749,Traditional Almond Biscotti
644666,Ginger-Lemon Panna Cotta with Brandied Berry Sauce
655300,Peanut Butter Cup Trifle
664533,Vegetable Cheddar Quiche
82518,Tenderloin Beef Wellington
648084,Italian Caprese Sliders
653362,Nutella frangipane empanadas
654523,Paneer & Fig Pizza
649441,Leek Flan
661757,Strawberry Basil Italian Ice
660709,Southwest Blt Crostini
655698,Pepperoni Pizza Muffins
646348,Havarti and Asparagus Quiche
641650,Dried Cherry-Almond Scones
648715,Kale Bruschetta
655003,Pate De Chocolate
640123,Cornbread Panzanella
716412,"Roasted Cranberries, Ricotta & Honey Crostini"
1061943,How to Make the Ultimate Christmas Fruit Pizza
635527,Blueberry Ricotta Tartlettes
660868,Spanish Meatballs In Tomato Sauce
644785,Gluten And Dairy Free Alfredo Lasagna
641651,Dried Fruit and Ginger Scones
633399,Bailey's Irish Cream Crepes With Creme
1095839,Pernik - Czech Spice Cake
650602,Madeleines With Irish Whiskey Fudge
632949,Asparagus Quiche
659463,Savory Cheese Dill Scones
660225,Skillingsbollar - Norwegian Cinnamon and Sugar Rolls
650718,Mandarin and Ruby Red Grapefruit Tiramisu
633078,Authentic Italian Biscotti
1504227,Easy Italian Meatballs
658681,Roasted Tomato and Garlic Quiche
643400,French Style Almond Saffron Cake
650650,Make Ahead Quiche
637477,Chavrie Fresh Goat Cheese Souffle
643851,Frikadellen German Meat Patties
641755,Durian Panna Cotta
1095797,Lemon Rum Crêpes
654657,Parmesan Cheese Scones
632208,Almost Heaven Cake
