id,title,sweetness,saltiness,sourness,bitterness,savoriness,fattiness,spiciness
715769,Broccolini Quinoa Pilaf,48.94,100.0,52.47,57.87,64.1,79.0,0.0
715573,Simple Skillet Lasagna,48.54,100.0,68.25,25.59,61.71,59.11,0.0
659109,Salmon Quinoa Risotto,30.76,100.0,33.56,19.93,67.66,66.29,3725.0
648279,Italian Tuna Pasta,49.2,15.65,100.0,80.43,65.81,28.4,6755950.0
648257,Italian Steamed Artichokes,100.0,9.4,0.0,0.0,0.0,18.02,0.0
660266,Slow Cooked Corned Beef and Cabbage,21.47,100.0,24.12,24.32,44.38,49.45,7500.0
648247,Italian Seafood Stew,60.1,99.5,100.0,50.21,74.97,52.7,0.0
640819,Crispy Italian Cauliflower Poppers Appetizer,73.97,100.0,72.36,66.75,41.75,80.12,0.0
1095806,Spanish style salmon fillets,28.95,100.0,29.49,15.79,70.22,69.57,17850.0
1095745,Mushroom Hummus Crostini,28.47,100.0,28.48,38.28,79.03,71.63,0.0
658753,Roma Tomato Bruschetta,100.0,35.71,98.91,25.14,23.06,79.67,14900.0
664737,Veggie Lasagna Rolls with Peppery Pecorino Marinara,62.04,58.73,100.0,33.9,34.94,39.14,0.0
664565,Vegetable Minestrone Soup,93.41,100.0,82.16,59.62,55.03,39.55,0.0
658515,Roasted Brussels Sprouts With Garlic,26.75,100.0,35.73,55.74,58.16,65.62,0.0
639606,Classic Greek Moussaka,54.55,100.0,33.43,35.08,48.14,76.84,0.0
715563,Pierogi Casserole,50.63,100.0,29.21,28.24,59.81,92.88,0.0
1095742,Winter Vegetable Minestrone Soup,100.0,81.19,98.94,47.58,51.45,34.29,0.0
715538,What to make for dinner tonight?? Bruschetta Style Pork & Pasta,25.85,100.0,24.12,25.37,89.58,72.01,0.0
664678,Vegetarian Moussaka With Portabella,32.25,100.0,23.96,16.66,27.96,69.9,0.0
640134,Corned Beef and Cabbage,24.54,100.0,22.9,22.42,43.77,51.85,0.0
648275,Italian Tomato and Mozzarella Caprese,100.0,56.74,89.8,29.4,43.06,88.02,14900.0
640136,Corned Beef And Cabbage With Irish Mustard Sauce,17.91,100.0,25.45,22.86,47.77,49.53,0.0
646034,Guinness Braised Corned Beef and Cabbage,34.3,100.0,24.83,63.21,37.31,56.36,180000.0
632935,Asparagus Lemon Risotto,45.56,100.0,47.23,59.81,47.84,60.65,0.0
648176,Italian Meatloaf with Hard Boiled Eggs,33.05,100.0,14.68,19.89,60.01,62.77,29800.0
643471,"fresh corn, roasted tomato & pickled garlic pizza with cornmeal crust",83.26,38.07,100.0,33.38,24.48,44.18,3725.0
638088,Chicken Farfalle with Low-Fat Alfredo Sauce,47.43,100.0,47.0,41.36,96.5,74.27,14900.0
648259,Italian String Beans With Anchovies and Breadcrumbs,70.25,93.98,50.42,51.27,53.02,100.0,0.0
646549,Heart Shaped Spinach Ravioli,27.39,100.0,49.33,16.01,33.74,78.74,0.0
1095740,Golden Beet Panzanella,100.0,20.7,63.93,38.58,9.96,34.81,0.0
645646,Grilled Chicken Gyros With Tzatziki,46.25,100.0,53.35,32.64,72.49,73.11,7450.0
657933,Ratatouille Pasta,51.28,100.0,47.55,40.82,54.49,58.17,0.0
1095751,Fresh Tomato Risotto with Grilled Green Vegetables,67.93,100.0,83.41,47.67,55.88,46.6,0.0
647124,Homemade Thin Crust Pizza + Pesto + Potato,23.35,59.31,10.75,19.58,13.91,100.0,22350.0
644476,German Goulash,19.7,100.0,30.94,32.33,54.1,50.64,0.0
648190,Italian Pasta Salad with organic Arugula,31.75,14.44,39.04,28.89,41.15,100.0,0.0
662294,Sun-Dried Tomato Romesco,8.18,100.0,5.8,8.62,15.18,73.47,17009.71
657312,Pumpkin gnocchi with basil and Parmesan,93.64,75.7,11.16,6.19,42.19,100.0,0.0
1095836,Romanian Pea and Chicken Stew,37.04,100.0,13.27,16.41,69.47,57.21,0.0
1096088,Baked Chicken Caprese,35.39,100.0,23.48,24.66,82.17,72.48,0.0
664680,Vegetarian Mushroom Shepherd's Pie,24.84,100.0,16.24,22.78,52.08,66.66,5950.0
664419,Vegan Colcannon Soup,21.29,100.0,21.5,15.34,28.07,64.46,0.0
633063,Austrian Goulash,20.1,100.0,28.53,17.18,58.73,67.38,0.0
1697699,Sheet Pan Butternut Squash with Spicy Italian Sausage,15.12,100.0,15.14,11.52,48.6,74.5,0.0
655400,Pear and Pesto Crostini,100.0,7.73,26.35,18.28,7.59,86.32,0.0
